Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Peptides IP_01	Peptides IP_02	Peptides IP_03	Peptides IP_04	Peptides RNase_01	Peptides RNase_02	Peptides RNase_03	Peptides RNase_04	Peptides WT_01	Peptides WT_02	Peptides WT_03	Peptides WT_04	Razor + unique peptides IP_01	Razor + unique peptides IP_02	Razor + unique peptides IP_03	Razor + unique peptides IP_04	Razor + unique peptides RNase_01	Razor + unique peptides RNase_02	Razor + unique peptides RNase_03	Razor + unique peptides RNase_04	Razor + unique peptides WT_01	Razor + unique peptides WT_02	Razor + unique peptides WT_03	Razor + unique peptides WT_04	Unique peptides IP_01	Unique peptides IP_02	Unique peptides IP_03	Unique peptides IP_04	Unique peptides RNase_01	Unique peptides RNase_02	Unique peptides RNase_03	Unique peptides RNase_04	Unique peptides WT_01	Unique peptides WT_02	Unique peptides WT_03	Unique peptides WT_04	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Q-value	Score	Identification type IP_01	Identification type IP_02	Identification type IP_03	Identification type IP_04	Identification type RNase_01	Identification type RNase_02	Identification type RNase_03	Identification type RNase_04	Identification type WT_01	Identification type WT_02	Identification type WT_03	Identification type WT_04	Sequence coverage IP_01 [%]	Sequence coverage IP_02 [%]	Sequence coverage IP_03 [%]	Sequence coverage IP_04 [%]	Sequence coverage RNase_01 [%]	Sequence coverage RNase_02 [%]	Sequence coverage RNase_03 [%]	Sequence coverage RNase_04 [%]	Sequence coverage WT_01 [%]	Sequence coverage WT_02 [%]	Sequence coverage WT_03 [%]	Sequence coverage WT_04 [%]	Intensity	Intensity IP_01	Intensity IP_02	Intensity IP_03	Intensity IP_04	Intensity RNase_01	Intensity RNase_02	Intensity RNase_03	Intensity RNase_04	Intensity WT_01	Intensity WT_02	Intensity WT_03	Intensity WT_04	iBAQ	iBAQ IP_01	iBAQ IP_02	iBAQ IP_03	iBAQ IP_04	iBAQ RNase_01	iBAQ RNase_02	iBAQ RNase_03	iBAQ RNase_04	iBAQ WT_01	iBAQ WT_02	iBAQ WT_03	iBAQ WT_04	LFQ intensity IP_01	LFQ intensity IP_02	LFQ intensity IP_03	LFQ intensity IP_04	LFQ intensity RNase_01	LFQ intensity RNase_02	LFQ intensity RNase_03	LFQ intensity RNase_04	LFQ intensity WT_01	LFQ intensity WT_02	LFQ intensity WT_03	LFQ intensity WT_04	MS/MS count IP_01	MS/MS count IP_02	MS/MS count IP_03	MS/MS count IP_04	MS/MS count RNase_01	MS/MS count RNase_02	MS/MS count RNase_03	MS/MS count RNase_04	MS/MS count WT_01	MS/MS count WT_02	MS/MS count WT_03	MS/MS count WT_04	MS/MS count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
YBR060C	YBR060C	2	2	2	YBR060C ORC2 SGDID:S000000264, Chr II from 362514-360652, Genome Release 64-2-1, reverse complement, Verified ORF, Subunit of the origin recognition complex (ORC); ORC directs DNA replication by binding to replication origins and is also involved in trans	1	2	2	2	1	1	1	1	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	3.4	3.4	3.4	71.237	620	620	0.0011614	2.096	By MS/MS	By MS/MS	By matching	By matching									1.6	1.8	1.8	1.8	0	0	0	0	0	0	0	0	3580100	0	1767600	918890	893630	0	0	0	0	0	0	0	0	127860	0	63129	32817	31915	0	0	0	0	0	0	0	0	0	0	0	312680	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	2				126	2178;5373	True;True	2316;5786	24114;60481;60482;60483	16995;42544	16995;42544		
YBR072W	YBR072W	3	3	3	YBR072W HSP26 SGDID:S000000276, Chr II from 382030-382674, Genome Release 64-2-1, Verified ORF, Small heat shock protein (sHSP) with chaperone activity; forms hollow, sphere-shaped oligomers that suppress unfolded proteins aggregation; long-lived protein 	1	3	3	3	0	0	0	2	0	0	0	1	3	2	1	3	0	0	0	2	0	0	0	1	3	2	1	3	0	0	0	2	0	0	0	1	3	2	1	3	21	21	21	23.879	214	214	0	15.459				By matching				By matching	By MS/MS	By MS/MS	By matching	By MS/MS	0	0	0	13.1	0	0	0	4.7	21	16.4	8.4	21	82342000	0	0	0	4079900	0	0	0	8309300	19651000	15467000	11126000	23710000	13724000	0	0	0	679990	0	0	0	1384900	3275200	2577800	1854300	3951600	0	0	0	0	0	0	0	0	18159000	10325000	0	17317000	0	0	0	0	0	0	0	0	2	1	0	2	5				127	594;3310;3783	True;True;True	639;3559;4067	6596;6597;6598;6599;36192;36193;36194;36195;36196;41563;41564;41565	4576;25208;25209;28884;28885	4576;25209;28884		
YBR079C	YBR079C	28	28	28	YBR079C RPG1 SGDID:S000000283, Chr II from 398277-395383, Genome Release 64-2-1, reverse complement, Verified ORF, eIF3a subunit of the eukaryotic translation initiation factor 3 (eIF3); subunit of the core complex of eIF3; essential for translation; part	1	28	28	28	21	22	27	20	19	18	22	2	16	16	17	14	21	22	27	20	19	18	22	2	16	16	17	14	21	22	27	20	19	18	22	2	16	16	17	14	33.6	33.6	33.6	110.34	964	964	0	210.54	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By matching	By MS/MS	By MS/MS	By MS/MS	By MS/MS	26.5	26.6	32.4	24.6	23.2	21.7	27.7	1.8	17.9	18.7	19.7	15.1	1676200000	90910000	212350000	294100000	208040000	159840000	110990000	208680000	99805000	35824000	86897000	124670000	44069000	31626000	1715300	4006600	5549000	3925300	3015800	2094200	3937300	1883100	675920	1639600	2352300	831500	66190000	68821000	81552000	80411000	52840000	52922000	72667000	29752000	42616000	51235000	51681000	37676000	14	21	26	16	10	8	15	0	4	8	6	5	133				128	319;680;1056;1130;1359;1486;1605;1917;2273;2404;2514;2541;2683;2837;3044;3260;3552;3558;3591;3611;3620;3679;3900;4005;4204;4724;4752;4970	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	346;728;1126;1127;1206;1455;1587;1711;2044;2418;2557;2673;2700;2848;3021;3231;3498;3818;3825;3859;3879;3890;3950;3951;4203;4316;4530;5099;5128;5360	3604;3605;3606;3607;3608;3609;3610;3611;3612;3613;3614;3615;7395;7396;7397;7398;7399;11357;11358;11359;11360;11361;11362;11363;11364;11365;11366;11367;11368;12092;12093;12094;12095;12096;12097;12098;12099;15193;15194;15195;15196;15197;15198;15199;15200;15201;15202;15203;16392;16393;16394;16395;16396;16397;16398;16399;16400;16401;16402;17543;17544;17545;17546;17547;17548;17549;17550;17551;17552;17553;17554;17555;17556;21431;21432;21433;21434;21435;21436;21437;21438;21439;21440;21441;21442;21443;21444;21445;21446;21447;21448;25161;25162;26547;27696;27863;29162;29163;29164;29165;29166;29167;29168;29169;29170;29171;30732;32729;32730;32731;32732;32733;32734;32735;32736;32737;35190;35191;35192;35193;35194;35195;38804;38805;38806;38807;38808;38809;38810;38811;38812;38813;38814;38840;38841;38842;38843;38844;38845;38846;38847;38848;38849;38850;38851;38852;38853;38854;38855;38856;38857;38858;38859;38860;39181;39182;39183;39184;39185;39186;39187;39188;39189;39190;39191;39375;39376;39377;39378;39379;39380;39381;39382;39507;39508;39509;39510;40013;40014;40015;40016;43203;43204;43205;43206;43207;43208;43209;43210;44230;44231;44232;44233;44234;44235;44236;44237;44238;44239;46140;46141;46142;46143;46144;46145;52143;52144;52145;52146;52147;52148;52149;52150;52151;52152;52153;52415;52416;52417;52418;52419;52420;52421;52422;52423;52424;52425;55566;55567;55568;55569;55570;55571;55572;55573;55574;55575	2523;2524;2525;2526;2527;5012;5013;5014;5015;7883;7884;7885;7886;7887;7888;8349;8350;8351;8352;8353;8354;8355;10945;10946;10947;10948;10949;10950;10951;10952;10953;10954;10955;11629;11630;11631;11632;11633;11634;11635;11636;11637;11638;11639;12345;12346;12347;12348;12349;12350;12351;12352;12353;12354;12355;12356;12357;15335;15336;15337;15338;15339;15340;15341;15342;15343;15344;15345;15346;17741;17742;18647;19433;19529;20293;20294;20295;20296;20297;20298;20299;21331;22594;22595;24339;26976;26977;26978;26993;26994;26995;26996;26997;26998;26999;27000;27001;27204;27205;27206;27207;27208;27209;27347;27348;27349;27427;27428;27429;27700;27701;30056;30057;30058;30059;30060;30716;30717;30718;30719;30720;32070;32071;32072;36224;36225;36226;36227;36228;36425;36426;36427;36428;38985;38986;38987;38988	2526;5014;7885;8353;10954;11639;12356;15338;17742;18647;19433;19529;20297;21331;22594;24339;26977;26997;27206;27349;27429;27700;30058;30717;32070;36226;36426;38988	127;128;129	205;366;901
YBR080C	YBR080C	2	2	2	YBR080C SEC18 SGDID:S000000284, Chr II from 400890-398614, Genome Release 64-2-1, reverse complement, Verified ORF, AAA ATPase and SNARE disassembly chaperone; required for vesicular transport between ER and Golgi, the priming step in homotypic vacuole 	1	2	2	2	1	2	2	2	1	2	1	0	1	1	1	1	1	2	2	2	1	2	1	0	1	1	1	1	1	2	2	2	1	2	1	0	1	1	1	1	3.3	3.3	3.3	84.055	758	758	0	9.6514	By matching	By MS/MS	By MS/MS	By MS/MS	By matching	By matching	By matching		By matching	By MS/MS	By matching	By matching	1.6	3.3	3.3	3.3	1.6	3.3	1.6	0	1.6	1.6	1.6	1.6	53977000	2562800	5622100	6144400	10539000	3929000	5359900	3776700	0	2544300	3272000	7084500	3142600	1635700	77662	170370	186190	319360	119060	162420	114450	0	77101	99150	214680	95229	0	0	0	3755300	0	2367400	0	0	0	0	0	0	0	1	1	2	0	0	0	0	0	1	0	0	5				129	422;1635	True;True	458;1741	4799;4800;4801;4802;17823;17824;17825;17826;17827;17828;17829;17830;17831;17832;17833	3303;3304;3305;12513;12514	3303;12514		
YBR082C	YBR082C	1	1	1	YBR082C UBC4 SGDID:S000000286, Chr II from 407027-406628,407169-407123, Genome Release 64-2-1, reverse complement, Verified ORF, Ubiquitin-conjugating enzyme (E2); key E2 partner with Ubc1p for the anaphase-promoting complex (APC); mediates degradation of	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	6.8	6.8	6.8	16.456	148	148	0	5.7161	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS		By MS/MS	By MS/MS	By MS/MS	By matching	6.8	6.8	6.8	6.8	6.8	6.8	6.8	0	6.8	6.8	6.8	6.8	79613000	2567300	9416100	11247000	10682000	9365000	8222800	8778300	0	1434600	4737600	7973900	5187800	19903000	641820	2354000	2811800	2670500	2341200	2055700	2194600	0	358640	1184400	1993500	1296900	0	3513300	3628200	3676600	3586900	3681200	3569600	0	0	0	0	0	1	1	1	1	1	1	1	0	1	1	2	0	11				130	5185	True	5594	58217;58218;58219;58220;58221;58222;58223;58224;58225;58226;58227;58228;58229;58230;58231;58232;58233;58234;58235;58236	40873;40874;40875;40876;40877;40878;40879;40880;40881;40882;40883	40879		
YBR084W	YBR084W	11	11	11	YBR084W MIS1 SGDID:S000000288, Chr II from 411054-413981, Genome Release 64-2-1, Verified ORF, Mitochondrial C1-tetrahydrofolate synthase; involved in interconversion between different oxidation states of tetrahydrofolate (THF); provides activities of for	1	11	11	11	6	9	9	10	3	2	4	0	0	1	1	1	6	9	9	10	3	2	4	0	0	1	1	1	6	9	9	10	3	2	4	0	0	1	1	1	13.5	13.5	13.5	106.22	975	975	0	75.276	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By matching			By matching	By matching	By matching	7.4	11.7	11.3	12.7	3.3	3.3	6.4	0	0	1.1	1.4	1.1	237550000	12295000	64539000	69382000	59008000	6707300	5152800	10760000	0	0	3257000	3667200	2777500	6251200	323540	1698400	1825900	1552900	176510	135600	283160	0	0	85709	96504	73091	9664200	20333000	18953000	17327000	4517500	6333400	7015400	0	0	0	0	0	2	7	6	7	0	0	0	0	0	0	0	0	22				131	723;1241;1531;1983;2486;2715;2805;2992;3147;4533;5375	True;True;True;True;True;True;True;True;True;True;True	773;1327;1633;2111;2644;2882;2985;3178;3375;4883;5788	7852;13235;13236;13237;16832;16833;16834;16835;16836;22231;22232;22233;22234;27442;29433;29434;29435;29436;29437;30466;30467;30468;30469;30470;32206;32207;32208;32209;32210;32211;33964;33965;33966;33967;33968;33969;49645;49646;49647;49648;49649;49650;60493;60494;60495;60496	5284;9155;9156;11883;11884;11885;15853;15854;19288;20484;21191;21192;21193;21194;21195;22260;22261;22262;23441;23442;34496;34497;42547;42548	5284;9156;11883;15853;19288;20484;21193;22262;23441;34496;42547		
YBR086C	YBR086C	1	1	1	YBR086C IST2 SGDID:S000000290, Chr II from 423041-420201, Genome Release 64-2-1, reverse complement, Verified ORF, Cortical ER protein involved in ER-plasma membrane tethering; one of 6 proteins (Ist2p, Scs2p, Scs22p, Tcb1p, Tcb2p, Tcb3p) that connect ER 	1	1	1	1	0	1	1	1	0	0	0	0	0	1	0	0	0	1	1	1	0	0	0	0	0	1	0	0	0	1	1	1	0	0	0	0	0	1	0	0	1.6	1.6	1.6	105.85	946	946	0	9.1377		By matching	By MS/MS	By MS/MS						By matching			0	1.6	1.6	1.6	0	0	0	0	0	1.6	0	0	8978900	0	1883800	2895500	2680600	0	0	0	0	0	1518900	0	0	272090	0	57085	87744	81230	0	0	0	0	0	46027	0	0	0	0	0	0	0	0	0	0	0	865300	0	0	0	0	1	1	0	0	0	0	0	0	0	0	2				132	1923	True	2050	21489;21490;21491;21492	15377;15378	15377		
YBR106W	YBR106W	5	5	5	YBR106W PHO88 SGDID:S000000310, Chr II from 452658-453224, Genome Release 64-2-1, Verified ORF, Probable membrane protein; involved in phosphate transport; role in the maturation of secretory proteins; pho88 pho86 double null mutant exhibits enhanced synt	1	5	5	5	3	5	5	5	2	2	3	0	2	3	3	2	3	5	5	5	2	2	3	0	2	3	3	2	3	5	5	5	2	2	3	0	2	3	3	2	33.5	33.5	33.5	21.137	188	188	0	21.549	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By matching	By matching	By matching		By MS/MS	By MS/MS	By matching	By matching	18.6	33.5	33.5	33.5	13.8	13.8	22.3	0	13.8	21.3	21.3	13.8	257580000	8094500	34808000	45116000	39286000	11778000	8880100	15357000	0	6465900	26075000	52396000	9324700	25758000	809450	3480800	4511600	3928600	1177800	888010	1535700	0	646590	2607500	5239600	932470	6688600	9947500	10882000	13540000	5279300	4919000	8142700	0	7282000	15613000	14534000	8888900	2	4	6	6	0	0	0	0	1	3	0	0	22				133	289;2856;3817;3967;5367	True;True;True;True;True	312;3040;4104;4277;5779;5780	3121;3122;3123;3124;30891;30892;30893;30894;30895;30896;30897;30898;30899;30900;30901;30902;30903;30904;30905;30906;30907;30908;30909;42009;42010;42011;42012;43850;43851;43852;43853;43854;43855;43856;43857;43858;43859;43860;43861;43862;43863;43864;43865;43866;43867;43868;43869;43870;60434;60435;60436;60437;60438;60439;60440;60441;60442	2108;2109;21434;21435;21436;21437;21438;21439;21440;21441;29208;30504;30505;30506;30507;30508;30509;42522;42523;42524;42525;42526;42527	2109;21439;29208;30509;42524	130	72
YBR115C	YBR115C	1	1	1	YBR115C LYS2 SGDID:S000000319, Chr II from 473926-469748, Genome Release 64-2-1, reverse complement, Verified ORF, Alpha aminoadipate reductase; catalyzes the reduction of alpha-aminoadipate to alpha-aminoadipate 6-semialdehyde, which is the fifth step in	1	1	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0.8	0.8	0.8	155.34	1392	1392	0	6.4139		By MS/MS		By MS/MS									0	0.8	0	0.8	0	0	0	0	0	0	0	0	3674000	0	1474700	0	2199300	0	0	0	0	0	0	0	0	72039	0	28915	0	43124	0	0	0	0	0	0	0	0	0	0	0	769530	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	2				134	531	True	573	5989;5990	4210;4211	4211		
YPR080W;YBR118W	YPR080W;YBR118W	14;14	14;14	14;14	YPR080W TEF1 SGDID:S000006284, Chr XVI from 700594-701970, Genome Release 64-2-1, Verified ORF, Translational elongation factor EF-1 alpha; also encoded by TEF2; functions in the binding reaction of aminoacyl-tRNA (AA-tRNA) to ribosomes; may also have a r	2	14	14	14	12	13	13	12	12	12	13	6	10	12	13	12	12	13	13	12	12	12	13	6	10	12	13	12	12	13	13	12	12	12	13	6	10	12	13	12	48	48	48	50.032	458	458;458	0	323.31	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	46.5	46.5	46.5	46.5	46.3	46.3	46.5	21.8	34.5	40.2	46.5	41	42204000000	1833100000	4214300000	5076700000	3965700000	3908600000	2936500000	2982700000	7035800000	1475700000	2620300000	4279900000	1875100000	2637800000	114570000	263390000	317290000	247860000	244290000	183530000	186420000	439740000	92229000	163770000	267490000	117190000	1336100000	1330200000	1456800000	1447400000	1465200000	1528900000	1231200000	1231800000	1273200000	1424800000	1570400000	1293600000	25	27	37	34	23	23	22	13	17	22	26	24	293				135	580;1163;1164;2013;2375;3266;3937;3954;4214;4227;4623;5114;5171;5333	True;True;True;True;True;True;True;True;True;True;True;True;True;True	623;1244;1245;2142;2143;2524;3505;3506;4245;4263;4541;4555;4556;4984;4985;5518;5580;5745	6436;6437;6438;6439;6440;6441;6442;6443;6444;6445;12419;12420;12421;12422;12423;12424;12425;12426;12427;12428;12429;12430;12431;12432;12433;12434;22507;22508;22509;22510;22511;22512;22513;22514;22515;22516;22517;22518;22519;22520;22521;22522;22523;22524;22525;22526;26237;35250;35251;35252;35253;35254;35255;35256;35257;35258;35259;35260;35261;35262;35263;43539;43540;43541;43542;43543;43544;43545;43546;43547;43548;43549;43703;43704;43705;43706;43707;43708;43709;43710;43711;43712;43713;43714;43715;43716;43717;43718;43719;43720;43721;43722;43723;43724;43725;43726;46256;46257;46258;46259;46260;46261;46262;46263;46264;46265;46266;46267;46268;46269;46270;46271;46272;46273;46274;46275;46276;46277;46278;46387;46388;46389;46390;46391;46392;46393;46394;46395;46396;46397;46398;46399;46400;46401;46402;46403;46404;46405;46406;46407;46408;46409;46410;46411;46412;46413;46414;46415;46416;46417;46418;46419;46420;46421;46422;46423;46424;46425;46426;46427;46428;46429;46430;46431;46432;46433;46434;50772;50773;50774;50775;50776;50777;50778;50779;50780;50781;50782;50783;50784;50785;50786;50787;50788;50789;50790;50791;50792;50793;50794;50795;57426;57427;57428;57429;57430;57431;57432;57433;57434;57435;57436;57437;57438;57439;57440;57441;57442;57443;57444;57445;57446;57447;57448;58048;58049;58050;58051;58052;58053;58054;58055;58056;58057;58058;60058;60059;60060;60061;60062;60063;60064;60065;60066;60067;60068;60069;60070;60071;60072;60073;60074;60075;60076;60077;60078;60079;60080;60081;60082;60083;60084;60085;60086;60087;60088;60089;60090;60091;60092;60093;60094;60095;60096;60097;60098;60099;60100;60101;60102;60103;60104;60105	4468;4469;4470;8573;8574;8575;8576;8577;8578;8579;8580;8581;8582;8583;8584;16025;16026;16027;16028;16029;16030;16031;16032;16033;16034;16035;16036;16037;16038;16039;18458;24371;24372;24373;24374;24375;24376;24377;24378;30253;30254;30255;30256;30257;30258;30259;30260;30261;30262;30263;30264;30265;30266;30267;30379;30380;30381;30382;30383;30384;30385;30386;30387;30388;30389;30390;30391;30392;30393;30394;30395;30396;30397;30398;30399;30400;30401;30402;30403;30404;30405;30406;30407;30408;30409;30410;30411;30412;30413;30414;30415;32145;32146;32147;32148;32149;32150;32151;32152;32153;32154;32155;32156;32157;32158;32159;32160;32161;32162;32229;32230;32231;32232;32233;32234;32235;32236;32237;32238;32239;32240;32241;32242;32243;32244;32245;32246;32247;32248;32249;32250;32251;32252;32253;32254;32255;32256;32257;32258;32259;32260;32261;32262;32263;32264;32265;32266;32267;32268;32269;32270;32271;32272;32273;32274;32275;32276;32277;32278;32279;32280;32281;32282;32283;32284;32285;32286;32287;32288;32289;32290;32291;32292;32293;32294;32295;32296;32297;32298;32299;32300;32301;32302;32303;32304;32305;35311;35312;35313;35314;35315;35316;35317;35318;35319;35320;35321;35322;35323;35324;35325;35326;35327;35328;35329;35330;40344;40345;40346;40347;40348;40349;40350;40351;40352;40353;40354;40355;40356;40357;40358;40359;40360;40361;40362;40363;40364;40365;40366;40367;40368;40369;40769;40770;40771;40772;40773;40774;40775;40776;40777;40778;40779;40780;40781;40782;40783;40784;42281;42282;42283;42284;42285;42286;42287;42288;42289;42290;42291;42292;42293;42294;42295;42296;42297;42298;42299;42300;42301;42302;42303;42304;42305;42306;42307;42308;42309;42310;42311;42312;42313;42314;42315;42316;42317;42318;42319;42320;42321;42322;42323;42324;42325;42326;42327;42328	4470;8574;8584;16033;18458;24376;30263;30394;32160;32302;35324;40347;40770;42314	131;132;133;134	102;199;274;292
YBR119W	YBR119W	3	3	3	YBR119W MUD1 SGDID:S000000323, Chr II from 479338-479345,479435-480323, Genome Release 64-2-1, Verified ORF, U1 snRNP A protein; homolog of human U1-A; involved in nuclear mRNA splicing	1	3	3	3	3	3	2	3	0	0	0	0	0	0	0	0	3	3	2	3	0	0	0	0	0	0	0	0	3	3	2	3	0	0	0	0	0	0	0	0	12.8	12.8	12.8	34.378	298	298	0	35.477	By MS/MS	By MS/MS	By matching	By MS/MS									12.8	12.8	9.1	12.8	0	0	0	0	0	0	0	0	40664000	7470900	15263000	8103500	9827000	0	0	0	0	0	0	0	0	2259100	415050	847920	450190	545940	0	0	0	0	0	0	0	0	4412100	5557600	3361500	3397700	0	0	0	0	0	0	0	0	2	3	0	2	0	0	0	0	0	0	0	0	7				136	2846;3820;4710	True;True;True	3030;4108;5083	30789;30790;30791;30792;42020;42021;42022;42023;51979;51980;51981	21372;21373;21374;29213;29214;36105;36106	21373;29213;36106		
YBR121C	YBR121C	16	16	16	YBR121C GRS1 SGDID:S000000325, Chr II from 483367-481364, Genome Release 64-2-1, reverse complement, Verified ORF, Cytoplasmic and mitochondrial glycyl-tRNA synthase; ligates glycine to the cognate anticodon-bearing tRNA; transcription termination factor 	1	16	16	16	9	14	16	15	6	5	6	0	5	11	13	9	9	14	16	15	6	5	6	0	5	11	13	9	9	14	16	15	6	5	6	0	5	11	13	9	29.7	29.7	29.7	75.338	667	667	0	145.41	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By matching	By MS/MS		By matching	By MS/MS	By MS/MS	By MS/MS	17.2	26.1	29.7	27.3	9.9	7.3	10.3	0	8.7	19.6	24	15.6	850290000	23106000	121150000	202460000	200650000	21805000	14670000	38702000	0	15319000	54976000	124070000	33378000	29320000	796770	4177500	6981400	6919100	751900	505870	1334600	0	528240	1895700	4278100	1151000	16419000	42728000	61012000	59857000	11000000	7996100	22388000	0	15348000	33915000	54750000	19385000	1	8	13	13	1	0	2	0	0	3	7	1	49				137	178;591;671;673;1220;1456;1781;1925;1933;2719;2890;3600;4226;4503;4732;4870	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	193;636;719;721;1304;1556;1901;2052;2061;2886;3074;3868;4554;4852;5108;5254	1978;1979;1980;1981;1982;1983;6565;6566;6567;6568;6569;6570;6571;7322;7344;7345;7346;7347;7348;7349;7350;7351;7352;7353;13003;13004;13005;13006;13007;13008;13009;13010;13011;13012;16125;16126;16127;16128;16129;19574;19575;19576;19577;19578;19579;19580;19581;19582;21499;21500;21501;21502;21503;21504;21505;21506;21545;21546;21547;29465;29466;29467;29468;29469;29470;31252;31253;31254;31255;31256;31257;39295;39296;39297;39298;39299;39300;39301;39302;46384;46385;46386;49316;49317;49318;49319;49320;49321;49322;49323;49324;49325;49326;52249;52250;52251;52252;52253;52254;53714;53715;53716;53717;53718;53719;53720;53721;53722;53723;53724;53725;53726;53727;53728;53729;53730	1410;1411;1412;4566;4567;4971;4983;4984;9004;9005;11513;13744;13745;13746;15380;15381;15382;15383;15399;20500;20501;20502;20503;21676;21677;21678;21679;27288;27289;27290;27291;27292;32227;32228;34298;34299;34300;34301;34302;34303;34304;34305;36295;36296;36297;36298;37251;37252;37253	1412;4567;4971;4984;9005;11513;13745;15382;15399;20503;21679;27288;32227;34303;36297;37251		
YBR126C	YBR126C	1	1	1	YBR126C TPS1 SGDID:S000000330, Chr II from 490392-488905, Genome Release 64-2-1, reverse complement, Verified ORF, Synthase subunit of trehalose-6-P synthase/phosphatase complex; synthesizes the storage carbohydrate trehalose; also found in a monomeric fo	1	1	1	1	1	1	1	1	0	0	0	0	0	1	1	0	1	1	1	1	0	0	0	0	0	1	1	0	1	1	1	1	0	0	0	0	0	1	1	0	2.4	2.4	2.4	56.147	495	495	0	4.4454	By matching	By MS/MS	By MS/MS	By MS/MS						By matching	By matching		2.4	2.4	2.4	2.4	0	0	0	0	0	2.4	2.4	0	40539000	1862100	8198600	12111000	13052000	0	0	0	0	0	2499900	2815900	0	4504400	206900	910960	1345600	1450200	0	0	0	0	0	277770	312880	0	0	3074200	3592700	4769500	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	3				138	2075	True	2206	23127;23128;23129;23130;23131;23132;23133;23134;23135	16411;16412;16413	16413		
