#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Publication Source	Organism ID Interactor A	Organism ID Interactor B	Throughput	Score	Modification	Qualifications	Tags	Source Database	SWISS-PROT Accessions Interactor A	TREMBL Accessions Interactor A	REFSEQ Accessions Interactor A	SWISS-PROT Accessions Interactor B	TREMBL Accessions Interactor B	REFSEQ Accessions Interactor B	Ontology Term IDs	Ontology Term Names	Ontology Term Categories	Ontology Term Qualifier IDs	Ontology Term Qualifier Names	Ontology Term Types	Organism Name Interactor A	Organism Name Interactor B
97553	853986	854497	34242	34705	YOL133W	YOR319W	HRT1	HSH49	HRT2|RBX1|ROC1|SCF ubiquitin ligase complex subunit HRT1|L000004443	L000003014	Affinity Capture-MS	physical	Gavin AC (2002)	PUBMED:11805826	559292	559292	High Throughput	-	-	-	-	BIOGRID	Q08273	-	NP_014508	Q99181	-	NP_014964	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
204198	856209	854497	36262	34705	YPR094W	YOR319W	RDS3	HSH49	-	L000003014	Affinity Capture-MS	physical	Wang Q (2005)	PUBMED:16314500	559292	559292	Low Throughput	-	-	-	-	BIOGRID	Q06835	-	NP_015419	Q99181	-	NP_014964	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
204203	855281	854497	35419	34705	YMR240C	YOR319W	CUS1	HSH49	L000002833	L000003014	Affinity Capture-MS	physical	Wang Q (2005)	PUBMED:16314500	559292	559292	Low Throughput	-	-	-	-	BIOGRID	Q02554	-	NP_013967	Q99181	-	NP_014964	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
204210	855281	854497	35419	34705	YMR240C	YOR319W	CUS1	HSH49	L000002833	L000003014	Two-hybrid	physical	Wang Q (2005)	PUBMED:16314500	559292	559292	Low Throughput	-	-	-	-	BIOGRID	Q02554	-	NP_013967	Q99181	-	NP_014964	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
204212	854497	855281	34705	35419	YOR319W	YMR240C	HSH49	CUS1	L000003014	L000002833	Two-hybrid	physical	Wang Q (2005)	PUBMED:16314500	559292	559292	Low Throughput	-	-	-	-	BIOGRID	Q99181	-	NP_014964	Q02554	-	NP_013967	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
204319	855888	854497	35972	34705	YPL213W	YOR319W	LEA1	HSH49	-	L000003014	Affinity Capture-MS	physical	Tardiff DF (2006)	PUBMED:16618970	559292	559292	Low Throughput	-	-	-	-	BIOGRID	Q08963	-	NP_015111	Q99181	-	NP_014964	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
333879	851369	854497	31882	34705	YDL229W	YOR319W	SSB1	HSH49	YG101|Hsp70 family ATPase SSB1|L000002073|L000002508	L000003014	Affinity Capture-MS	physical	Gong Y (2009)	PUBMED:19536198	559292	559292	High Throughput	-	-	The authors note that 21,687 interactions were identified as high confidence based on experimental scores and the distribution of scores in reference databases.  Only 1420 high confidence interactions were submitted to BioGRID by the authors because they met the additional criteria of containing reciprocal interactors in terms of the bait-prey relationship.	-	BIOGRID	P11484	-	NP_010052	Q99181	-	NP_014964	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
333880	854497	851369	34705	31882	YOR319W	YDL229W	HSH49	SSB1	L000003014	YG101|Hsp70 family ATPase SSB1|L000002073|L000002508	Affinity Capture-MS	physical	Gong Y (2009)	PUBMED:19536198	559292	559292	High Throughput	-	-	The authors note that 21,687 interactions were identified as high confidence based on experimental scores and the distribution of scores in reference databases.  Only 1420 high confidence interactions were submitted to BioGRID by the authors because they met the additional criteria of containing reciprocal interactors in terms of the bait-prey relationship.	-	BIOGRID	Q99181	-	NP_014964	P11484	-	NP_010052	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
347442	852755	854497	33129	34705	YGL122C	YOR319W	NAB2	HSH49	mRNA-binding protein NAB2|L000001227	L000003014	Affinity Capture-RNA	physical	Batisse J (2009)	PUBMED:19840948	559292	559292	High Throughput	-	-	High Throughput: The experiment involved high-throughput sequencing of the RNAs that co-precipitated with TAP-tagged Nab2 (Nab2-TAP).	-	BIOGRID	P32505	-	NP_011393	Q99181	-	NP_014964	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
503627	855745	854497	35836	34705	YNR011C	YOR319W	PRP2	HSH49	RNA2|DEAH-box RNA-dependent ATPase PRP2|L000001495	L000003014	Affinity Capture-MS	physical	Lardelli RM (2010)	PUBMED:20089683	559292	559292	High Throughput	-	-	Proteins pulled down with PRP2-TAP and identified by MudPIT analysis	-	BIOGRID	P20095	-	NP_014408	Q99181	-	NP_014964	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
517976	852493	854497	32891	34705	YBR194W	YOR319W	AIM4	HSH49	SOY1	L000003014	Affinity Capture-MS	physical	Ren L (2011)	PUBMED:21386897	559292	559292	High Throughput	-	-	-	-	BIOGRID	P38305	-	NP_009753	Q99181	-	NP_014964	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
518039	856275	854497	36319	34705	YPR152C	YOR319W	URN1	HSH49	-	L000003014	Affinity Capture-MS	physical	Ren L (2011)	PUBMED:21386897	559292	559292	High Throughput	-	-	-	-	BIOGRID	Q06525	-	NP_015478	Q99181	-	NP_014964	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
534767	854485	854497	34697	34705	YOR308C	YOR319W	SNU66	HSH49	-	L000003014	Affinity Capture-MS	physical	Mishra SK (2011)	PUBMED:21614000	559292	559292	High Throughput	-	-	-	-	BIOGRID	Q12420	-	NP_014953	Q99181	-	NP_014964	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
554328	856751	854497	36764	34705	YER029C	YOR319W	SMB1	HSH49	Sm B|SmB|L000004361	L000003014	Affinity Capture-MS	physical	Schwer B (2011)	PUBMED:21558325	559292	559292	High Throughput	-	-	-	-	BIOGRID	P40018	-	NP_010946	Q99181	-	NP_014964	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
554419	852416	854497	32821	34705	YBR119W	YOR319W	MUD1	HSH49	U1A|U1-A|L000001217	L000003014	Affinity Capture-MS	physical	Schwer B (2011)	PUBMED:21558325	559292	559292	High Throughput	-	-	-	-	BIOGRID	P32605	-	NP_009677	Q99181	-	NP_014964	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
554480	856486	854497	36521	34705	YHR086W	YOR319W	NAM8	HSH49	MRE2|MUD15|L000001147|L000001230	L000003014	Affinity Capture-MS	physical	Schwer B (2011)	PUBMED:21558325	559292	559292	High Throughput	-	-	-	-	BIOGRID	Q00539	-	NP_011954	Q99181	-	NP_014964	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
554514	855888	854497	35972	34705	YPL213W	YOR319W	LEA1	HSH49	-	L000003014	Affinity Capture-MS	physical	Schwer B (2011)	PUBMED:21558325	559292	559292	High Throughput	-	-	-	-	BIOGRID	Q08963	-	NP_015111	Q99181	-	NP_014964	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
554791	855925	854497	36005	34705	YPL178W	YOR319W	CBC2	HSH49	CBP20|MUD13|SAE1|L000002891|L000004111	L000003014	Affinity Capture-MS	physical	Schwer B (2011)	PUBMED:21558325	559292	559292	High Throughput	-	-	-	-	BIOGRID	Q08920	-	NP_015147	Q99181	-	NP_014964	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
1035297	855925	854497	36005	34705	YPL178W	YOR319W	CBC2	HSH49	CBP20|MUD13|SAE1|L000002891|L000004111	L000003014	Affinity Capture-MS	physical	Bretes H (2014)	PUBMED:24500206	559292	559292	High Throughput	-	-	Table S1	-	BIOGRID	Q08920	-	NP_015147	Q99181	-	NP_014964	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
1536487	856155	854497	36219	34705	YPR042C	YOR319W	PUF2	HSH49	-	L000003014	Affinity Capture-RNA	physical	Porter DF (2015)	PUBMED:26668354	559292	559292	High Throughput	-	-	PAR-CLIP	-	BIOGRID	Q12221	-	NP_015367	Q99181	-	NP_014964	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
1877083	854497	852497	34705	32895	YOR319W	YBR198C	HSH49	TAF5	L000003014	TAF90|TafII90|L000004155	Positive Genetic	genetic	Costanzo M (2016)	PUBMED:27708008	559292	559292	High Throughput	0.1777	-	Genetic interactions were considered significant if they had a p-value < 0.05 and an SGA score > 0.16 for positive interactions and SGA score < -0.12 for negative interactions.|alleles: hsh49-5002 - taf5-3 [SGA score = 0.1777, P-value = 0.000551]	-	BIOGRID	Q99181	-	NP_014964	P38129	-	NP_009757	APO:0000063	colony size	phenotype	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
1877084	854497	851408	34705	31914	YOR319W	YDL147W	HSH49	RPN5	L000003014	NAS5|proteasome regulatory particle lid subunit RPN5|L000004451|L000004305	Positive Genetic	genetic	Costanzo M (2016)	PUBMED:27708008	559292	559292	High Throughput	0.21	-	Genetic interactions were considered significant if they had a p-value < 0.05 and an SGA score > 0.16 for positive interactions and SGA score < -0.12 for negative interactions.|alleles: hsh49-5002 - rpn5-5001 [SGA score = 0.2100, P-value = 0.0004557]	-	BIOGRID	Q99181	-	NP_014964	Q12250	-	NP_010134	APO:0000063	colony size	phenotype	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
1877085	854497	851723	34705	32199	YOR319W	YDR145W	HSH49	TAF12	L000003014	TAF61|TAF68|TafII61|TafII68|L000003462	Positive Genetic	genetic	Costanzo M (2016)	PUBMED:27708008	559292	559292	High Throughput	0.2007	-	Genetic interactions were considered significant if they had a p-value < 0.05 and an SGA score > 0.16 for positive interactions and SGA score < -0.12 for negative interactions.|alleles: hsh49-5002 - taf12-9 [SGA score = 0.2007, P-value = 1.834E-14]	-	BIOGRID	Q99181	-	NP_014964	Q03761	-	NP_010429	APO:0000063	colony size	phenotype	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
1877086	854497	854763	34705	34942	YOR319W	YIL048W	HSH49	NEO1	L000003014	putative aminophospholipid-translocating P4-type ATPase NEO1|L000004112	Positive Genetic	genetic	Costanzo M (2016)	PUBMED:27708008	559292	559292	High Throughput	0.1856	-	Genetic interactions were considered significant if they had a p-value < 0.05 and an SGA score > 0.16 for positive interactions and SGA score < -0.12 for negative interactions.|alleles: hsh49-5002 - neo1-2 [SGA score = 0.1856, P-value = 1.289E-19]	-	BIOGRID	Q99181	-	NP_014964	P40527	-	NP_012216	APO:0000063	colony size	phenotype	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
1877087	854497	853462	34705	33762	YOR319W	YJR006W	HSH49	POL31	L000003014	HUS2|HYS2|SDP5|L000002981	Positive Genetic	genetic	Costanzo M (2016)	PUBMED:27708008	559292	559292	High Throughput	0.1999	-	Genetic interactions were considered significant if they had a p-value < 0.05 and an SGA score > 0.16 for positive interactions and SGA score < -0.12 for negative interactions.|alleles: hsh49-5002 - hys2-ts [SGA score = 0.1999, P-value = 8.575E-9]	-	BIOGRID	Q99181	-	NP_014964	P46957	-	NP_012539	APO:0000063	colony size	phenotype	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
1877088	854497	853528	34705	33822	YOR319W	YJR065C	HSH49	ARP3	L000003014	ACT4|actin-related protein 3|L000003198	Positive Genetic	genetic	Costanzo M (2016)	PUBMED:27708008	559292	559292	High Throughput	0.1843	-	Genetic interactions were considered significant if they had a p-value < 0.05 and an SGA score > 0.16 for positive interactions and SGA score < -0.12 for negative interactions.|alleles: hsh49-5002 - arp3-f306g-supp1 [SGA score = 0.1843, P-value = 0.005619]	-	BIOGRID	Q99181	-	NP_014964	P47117	-	NP_012599	APO:0000063	colony size	phenotype	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
1877089	854497	853531	34705	33825	YOR319W	YJR068W	HSH49	RFC2	L000003014	replication factor C subunit 2|L000001623	Positive Genetic	genetic	Costanzo M (2016)	PUBMED:27708008	559292	559292	High Throughput	0.1602	-	Genetic interactions were considered significant if they had a p-value < 0.05 and an SGA score > 0.16 for positive interactions and SGA score < -0.12 for negative interactions.|alleles: hsh49-5002 - rfc2-1 [SGA score = 0.1602, P-value = 1.307E-13]	-	BIOGRID	Q99181	-	NP_014964	P40348	-	NP_012602	APO:0000063	colony size	phenotype	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
1877090	854497	854241	34705	34473	YOR319W	YOR074C	HSH49	CDC21	L000003014	CRT9|TMP1|thymidylate synthase|YOR29-25|L000000260	Positive Genetic	genetic	Costanzo M (2016)	PUBMED:27708008	559292	559292	High Throughput	0.1624	-	Genetic interactions were considered significant if they had a p-value < 0.05 and an SGA score > 0.16 for positive interactions and SGA score < -0.12 for negative interactions.|alleles: hsh49-5002 - cdc21-1 [SGA score = 0.1624, P-value = 0.03896]	-	BIOGRID	Q99181	-	NP_014964	P06785	-	NP_014717	APO:0000063	colony size	phenotype	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
1892048	854497	852483	34705	32883	YOR319W	YBR185C	HSH49	MBA1	L000003014	L000002809	Positive Genetic	genetic	Costanzo M (2016)	PUBMED:27708008	559292	559292	High Throughput	0.17	-	Genetic interactions were considered significant if they had a p-value < 0.05 and an SGA score > 0.16 for positive interactions and SGA score < -0.12 for negative interactions.|alleles: hsh49-5002 - mba1 [SGA score = 0.1700, P-value = 1.051E-8]	-	BIOGRID	Q99181	-	NP_014964	P38300	-	NP_009744	APO:0000063	colony size	phenotype	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
1892049	854497	852592	34705	32983	YOR319W	YBR289W	HSH49	SNF5	L000003014	HAF4|SWI10|TYE4|L000001948	Positive Genetic	genetic	Costanzo M (2016)	PUBMED:27708008	559292	559292	High Throughput	0.2053	-	Genetic interactions were considered significant if they had a p-value < 0.05 and an SGA score > 0.16 for positive interactions and SGA score < -0.12 for negative interactions.|alleles: hsh49-5002 - snf5 [SGA score = 0.2053, P-value = 3.016E-10]	-	BIOGRID	Q99181	-	NP_014964	P18480	-	NP_009848	APO:0000063	colony size	phenotype	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
