#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Publication Source	Organism ID Interactor A	Organism ID Interactor B	Throughput	Score	Modification	Qualifications	Tags	Source Database	SWISS-PROT Accessions Interactor A	TREMBL Accessions Interactor A	REFSEQ Accessions Interactor A	SWISS-PROT Accessions Interactor B	TREMBL Accessions Interactor B	REFSEQ Accessions Interactor B	Ontology Term IDs	Ontology Term Names	Ontology Term Categories	Ontology Term Qualifier IDs	Ontology Term Qualifier Names	Ontology Term Types	Organism Name Interactor A	Organism Name Interactor B
97395	851584	855450	32071	35569	YDR021W	YNL271C	FAL1	BNI1	ATP-dependent RNA helicase FAL1|L000003480	PPF3|SHE5|formin BNI1|L000000190	Affinity Capture-MS	physical	Gavin AC (2002)	PUBMED:11805826	559292	559292	High Throughput	-	-	-	-	BIOGRID	Q12099	-	NP_010304	P41832	-	NP_014128	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
365544	851584	856576	32071	36605	YDR021W	YHR171W	FAL1	ATG7	ATP-dependent RNA helicase FAL1|L000003480	APG11|APG7|CVT2|L000004701|S000029035|L000004786	Negative Genetic	genetic	Costanzo M (2010)	PUBMED:20093466	559292	559292	High Throughput	-0.1243	-	A Synthetic Genetic Array (SGA) analysis was carried out to quantitatively score genetic interactions based on fitness defects that were estimated from the colony size of double versus single mutants. Genetic interactions were considered significant if they had an SGA score of epsilon > 0.08 for positive interactions and epsilon < -0.08 for negative interactions, and a p-value < 0.05.|YDR021W is an essential gene and therefore a gene-dosage DAmP allele was used in the experiment.    The Decreased Abundance by mRNA Perturbation (DAmP) method results in destabilizing a gene's transcripts thereby decreasing the amount of protein.	-	BIOGRID	Q12099	-	NP_010304	P38862	-	NP_012041	APO:0000063	colony size	phenotype	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
365545	851584	853514	32071	33808	YDR021W	YJR054W	FAL1	KCH1	ATP-dependent RNA helicase FAL1|L000003480	ERM6	Negative Genetic	genetic	Costanzo M (2010)	PUBMED:20093466	559292	559292	High Throughput	-0.2342	-	A Synthetic Genetic Array (SGA) analysis was carried out to quantitatively score genetic interactions based on fitness defects that were estimated from the colony size of double versus single mutants. Genetic interactions were considered significant if they had an SGA score of epsilon > 0.08 for positive interactions and epsilon < -0.08 for negative interactions, and a p-value < 0.05.|YDR021W is an essential gene and therefore a gene-dosage DAmP allele was used in the experiment.    The Decreased Abundance by mRNA Perturbation (DAmP) method results in destabilizing a gene's transcripts thereby decreasing the amount of protein.	-	BIOGRID	Q12099	-	NP_010304	P47114	-	NP_012588	APO:0000063	colony size	phenotype	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
365546	851584	853810	32071	34078	YDR021W	YKL055C	FAL1	OAR1	ATP-dependent RNA helicase FAL1|L000003480	3-oxoacyl-[acyl-carrier-protein] reductase (NADPH)	Negative Genetic	genetic	Costanzo M (2010)	PUBMED:20093466	559292	559292	High Throughput	-0.147	-	A Synthetic Genetic Array (SGA) analysis was carried out to quantitatively score genetic interactions based on fitness defects that were estimated from the colony size of double versus single mutants. Genetic interactions were considered significant if they had an SGA score of epsilon > 0.08 for positive interactions and epsilon < -0.08 for negative interactions, and a p-value < 0.05.|YDR021W is an essential gene and therefore a gene-dosage DAmP allele was used in the experiment.    The Decreased Abundance by mRNA Perturbation (DAmP) method results in destabilizing a gene's transcripts thereby decreasing the amount of protein.	-	BIOGRID	Q12099	-	NP_010304	P35731	-	NP_012868	APO:0000063	colony size	phenotype	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
365547	851584	850684	32071	31271	YDR021W	YLL042C	FAL1	ATG10	ATP-dependent RNA helicase FAL1|L000003480	APG10|L000004785	Negative Genetic	genetic	Costanzo M (2010)	PUBMED:20093466	559292	559292	High Throughput	-0.1549	-	A Synthetic Genetic Array (SGA) analysis was carried out to quantitatively score genetic interactions based on fitness defects that were estimated from the colony size of double versus single mutants. Genetic interactions were considered significant if they had an SGA score of epsilon > 0.08 for positive interactions and epsilon < -0.08 for negative interactions, and a p-value < 0.05.|YDR021W is an essential gene and therefore a gene-dosage DAmP allele was used in the experiment.    The Decreased Abundance by mRNA Perturbation (DAmP) method results in destabilizing a gene's transcripts thereby decreasing the amount of protein.	-	BIOGRID	Q12099	-	NP_010304	Q07879	-	NP_013058	APO:0000063	colony size	phenotype	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
365548	851584	850737	32071	31323	YDR021W	YLR048W	FAL1	RPS0B	ATP-dependent RNA helicase FAL1|L000003480	NAB1B|YST2|ribosomal 40S subunit protein S0B|S2|S0B|L000002908	Negative Genetic	genetic	Costanzo M (2010)	PUBMED:20093466	559292	559292	High Throughput	-0.1452	-	A Synthetic Genetic Array (SGA) analysis was carried out to quantitatively score genetic interactions based on fitness defects that were estimated from the colony size of double versus single mutants. Genetic interactions were considered significant if they had an SGA score of epsilon > 0.08 for positive interactions and epsilon < -0.08 for negative interactions, and a p-value < 0.05.|YDR021W is an essential gene and therefore a gene-dosage DAmP allele was used in the experiment.    The Decreased Abundance by mRNA Perturbation (DAmP) method results in destabilizing a gene's transcripts thereby decreasing the amount of protein.	-	BIOGRID	Q12099	-	NP_010304	P46654	-	NP_013149	APO:0000063	colony size	phenotype	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
365549	851584	850745	32071	31331	YDR021W	YLR056W	FAL1	ERG3	ATP-dependent RNA helicase FAL1|L000003480	PSO6|SYR1|C-5 sterol desaturase|L000000570|L000004043	Negative Genetic	genetic	Costanzo M (2010)	PUBMED:20093466	559292	559292	High Throughput	-0.1424	-	A Synthetic Genetic Array (SGA) analysis was carried out to quantitatively score genetic interactions based on fitness defects that were estimated from the colony size of double versus single mutants. Genetic interactions were considered significant if they had an SGA score of epsilon > 0.08 for positive interactions and epsilon < -0.08 for negative interactions, and a p-value < 0.05.|YDR021W is an essential gene and therefore a gene-dosage DAmP allele was used in the experiment.    The Decreased Abundance by mRNA Perturbation (DAmP) method results in destabilizing a gene's transcripts thereby decreasing the amount of protein.	-	BIOGRID	Q12099	-	NP_010304	P32353	-	NP_013157	APO:0000063	colony size	phenotype	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
365550	851584	850940	32071	31506	YDR021W	YLR239C	FAL1	LIP2	ATP-dependent RNA helicase FAL1|L000003480	lipoyl(octanoyl) transferase LIP2	Negative Genetic	genetic	Costanzo M (2010)	PUBMED:20093466	559292	559292	High Throughput	-0.2017	-	A Synthetic Genetic Array (SGA) analysis was carried out to quantitatively score genetic interactions based on fitness defects that were estimated from the colony size of double versus single mutants. Genetic interactions were considered significant if they had an SGA score of epsilon > 0.08 for positive interactions and epsilon < -0.08 for negative interactions, and a p-value < 0.05.|YDR021W is an essential gene and therefore a gene-dosage DAmP allele was used in the experiment.    The Decreased Abundance by mRNA Perturbation (DAmP) method results in destabilizing a gene's transcripts thereby decreasing the amount of protein.	-	BIOGRID	Q12099	-	NP_010304	Q06005	-	NP_013340	APO:0000063	colony size	phenotype	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
365551	851584	851041	32071	31594	YDR021W	YLR330W	FAL1	CHS5	ATP-dependent RNA helicase FAL1|L000003480	CAL3|L000000333	Negative Genetic	genetic	Costanzo M (2010)	PUBMED:20093466	559292	559292	High Throughput	-0.1229	-	A Synthetic Genetic Array (SGA) analysis was carried out to quantitatively score genetic interactions based on fitness defects that were estimated from the colony size of double versus single mutants. Genetic interactions were considered significant if they had an SGA score of epsilon > 0.08 for positive interactions and epsilon < -0.08 for negative interactions, and a p-value < 0.05.|YDR021W is an essential gene and therefore a gene-dosage DAmP allele was used in the experiment.    The Decreased Abundance by mRNA Perturbation (DAmP) method results in destabilizing a gene's transcripts thereby decreasing the amount of protein.	-	BIOGRID	Q12099	-	NP_010304	Q12114	-	NP_013434	APO:0000063	colony size	phenotype	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
365552	851584	855178	32071	35323	YDR021W	YMR147W	FAL1	YMR147W	ATP-dependent RNA helicase FAL1|L000003480	-	Negative Genetic	genetic	Costanzo M (2010)	PUBMED:20093466	559292	559292	High Throughput	-0.1406	-	A Synthetic Genetic Array (SGA) analysis was carried out to quantitatively score genetic interactions based on fitness defects that were estimated from the colony size of double versus single mutants. Genetic interactions were considered significant if they had an SGA score of epsilon > 0.08 for positive interactions and epsilon < -0.08 for negative interactions, and a p-value < 0.05.|YDR021W is an essential gene and therefore a gene-dosage DAmP allele was used in the experiment.    The Decreased Abundance by mRNA Perturbation (DAmP) method results in destabilizing a gene's transcripts thereby decreasing the amount of protein.	-	BIOGRID	Q12099	-	NP_010304	P40218	-	NP_013867	APO:0000063	colony size	phenotype	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
365553	851584	854371	32071	34594	YDR021W	YOR196C	FAL1	LIP5	ATP-dependent RNA helicase FAL1|L000003480	putative lipoate synthase|L000002613	Negative Genetic	genetic	Costanzo M (2010)	PUBMED:20093466	559292	559292	High Throughput	-0.2033	-	A Synthetic Genetic Array (SGA) analysis was carried out to quantitatively score genetic interactions based on fitness defects that were estimated from the colony size of double versus single mutants. Genetic interactions were considered significant if they had an SGA score of epsilon > 0.08 for positive interactions and epsilon < -0.08 for negative interactions, and a p-value < 0.05.|YDR021W is an essential gene and therefore a gene-dosage DAmP allele was used in the experiment.    The Decreased Abundance by mRNA Perturbation (DAmP) method results in destabilizing a gene's transcripts thereby decreasing the amount of protein.	-	BIOGRID	Q12099	-	NP_010304	P32875	-	NP_014839	APO:0000063	colony size	phenotype	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
365554	851584	855931	32071	36011	YDR021W	YPL172C	FAL1	COX10	ATP-dependent RNA helicase FAL1|L000003480	L000000394	Negative Genetic	genetic	Costanzo M (2010)	PUBMED:20093466	559292	559292	High Throughput	-0.1286	-	A Synthetic Genetic Array (SGA) analysis was carried out to quantitatively score genetic interactions based on fitness defects that were estimated from the colony size of double versus single mutants. Genetic interactions were considered significant if they had an SGA score of epsilon > 0.08 for positive interactions and epsilon < -0.08 for negative interactions, and a p-value < 0.05.|YDR021W is an essential gene and therefore a gene-dosage DAmP allele was used in the experiment.    The Decreased Abundance by mRNA Perturbation (DAmP) method results in destabilizing a gene's transcripts thereby decreasing the amount of protein.	-	BIOGRID	Q12099	-	NP_010304	P21592	-	NP_015153	APO:0000063	colony size	phenotype	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
486572	851584	852405	32071	32812	YDR021W	YBR108W	FAL1	AIM3	ATP-dependent RNA helicase FAL1|L000003480	-	Positive Genetic	genetic	Michelot A (2010)	PUBMED:21035341	559292	559292	High Throughput	0.142	-	A Synthetic Genetic Array (SGA) analysis was carried out to quantitatively score genetic interactions based on fitness defects that were estimated from the colony size of double versus single mutants. Genetic interactions were considered significant if they had an SGA score of epsilon > 0.08 for positive interactions and epsilon < -0.08 for negative interactions, and a p-value < 0.05.	-	BIOGRID	Q12099	-	NP_010304	P38266	-	NP_009666	APO:0000063	colony size	phenotype	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
543967	851584	851049	32071	31600	YDR021W	YLR336C	FAL1	SGD1	ATP-dependent RNA helicase FAL1|L000003480	L000003498	Synthetic Rescue	genetic	Alexandrov A (2011)	PUBMED:21576267	559292	559292	Low Throughput	-	-	-	-	BIOGRID	Q12099	-	NP_010304	Q06132	-	NP_013440	APO:0000063|APO:0000148|APO:0000310	colony size|cold sensitivity|growth in exponential phase	phenotype|phenotype|phenotype	-|-|-	-|-|-	-|-|-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
543968	851584	851049	32071	31600	YDR021W	YLR336C	FAL1	SGD1	ATP-dependent RNA helicase FAL1|L000003480	L000003498	Synthetic Growth Defect	genetic	Alexandrov A (2011)	PUBMED:21576267	559292	559292	Low Throughput	-	-	-	-	BIOGRID	Q12099	-	NP_010304	Q06132	-	NP_013440	APO:0000147	heat sensitivity	phenotype	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
543969	851584	851049	32071	31600	YDR021W	YLR336C	FAL1	SGD1	ATP-dependent RNA helicase FAL1|L000003480	L000003498	Affinity Capture-Western	physical	Alexandrov A (2011)	PUBMED:21576267	559292	559292	Low Throughput	-	-	-	-	BIOGRID	Q12099	-	NP_010304	Q06132	-	NP_013440	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
543970	851584	851049	32071	31600	YDR021W	YLR336C	FAL1	SGD1	ATP-dependent RNA helicase FAL1|L000003480	L000003498	Phenotypic Suppression	genetic	Alexandrov A (2011)	PUBMED:21576267	559292	559292	Low Throughput	-	-	multiple rRNA species	-	BIOGRID	Q12099	-	NP_010304	Q06132	-	NP_013440	APO:0000271|APO:0000224	RNA modification|RNA accumulation	phenotype|phenotype	-|-	-|-	partial rescue|partial rescue	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
821703	853371	851584	33681	32071	YJL074C	YDR021W	SMC3	FAL1	cohesin subunit SMC3|L000003992	ATP-dependent RNA helicase FAL1|L000003480	Synthetic Lethality	genetic	van Pel DM (2013)	PUBMED:23390603	559292	559292	High Throughput	0.025988441	-	SGA analysis for synthetic lethal interactions between mutations whose human orthologs are found to be mutated in cancers, and the deletion mutant collection, where the interaction probability P < 0.05	-	BIOGRID	P47037	-	NP_012461	Q12099	-	NP_010304	APO:0000112	inviable	phenotype	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
822763	855228	851584	35368	32071	YMR190C	YDR021W	SGS1	FAL1	ATP-dependent DNA helicase SGS1|L000001877	ATP-dependent RNA helicase FAL1|L000003480	Synthetic Lethality	genetic	van Pel DM (2013)	PUBMED:23390603	559292	559292	High Throughput	0.019460286	-	SGA analysis for synthetic lethal interactions between mutations whose human orthologs are found to be mutated in cancers, and the deletion mutant collection, where the interaction probability P < 0.05	-	BIOGRID	P35187	-	NP_013915	Q12099	-	NP_010304	APO:0000112	inviable	phenotype	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
839864	856200	851584	36256	32071	YPR085C	YDR021W	ASA1	FAL1	-	ATP-dependent RNA helicase FAL1|L000003480	Positive Genetic	genetic	Stirling PC (2011)	PUBMED:21552543	559292	559292	High Throughput	0.532058778	-	interaction score < -0.3, p-value > 0.05; tti1-1 allele	-	BIOGRID	Q06822	-	NP_015410	Q12099	-	NP_010304	APO:0000063	colony size	phenotype	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
1062284	855512	851584	35627	32071	YNL209W	YDR021W	SSB2	FAL1	YG103|Hsp70 family ATPase SSB2|L000002715	ATP-dependent RNA helicase FAL1|L000003480	Co-purification	physical	Willmund F (2013)	PUBMED:23332755	559292	559292	High Throughput	-	-	isolation of cotranslationally bound SSB-RNC complexes allows us to identify the chaperone-bound nascent polypeptides through analysis of the mRNAs encoding the substrates	-	BIOGRID	P40150	-	NP_014190	Q12099	-	NP_010304	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
1440713	853133	851584	33472	32071	YGR218W	YDR021W	CRM1	FAL1	KAP124|XPO1|exportin CRM1|L000000420	ATP-dependent RNA helicase FAL1|L000003480	Affinity Capture-MS	physical	Kirli K (2015)	PUBMED:26673895	559292	559292	High Throughput	-	-	Cargo B|Intreaction in the presence of RanGTP	-	BIOGRID	P30822	-	NP_011734	Q12099	-	NP_010304	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
1871534	851584	852834	32071	33200	YDR021W	YGL048C	FAL1	RPT6	ATP-dependent RNA helicase FAL1|L000003480	CIM3|CRL3|SCB68|SUG1|proteasome regulatory particle base subunit RPT6|L000002174|L000000406|L000002265	Positive Genetic	genetic	Costanzo M (2016)	PUBMED:27708008	559292	559292	High Throughput	0.1806	-	Genetic interactions were considered significant if they had a p-value < 0.05 and an SGA score > 0.16 for positive interactions and SGA score < -0.12 for negative interactions.|alleles: fal1-1 - rpt6-25 [SGA score = 0.1806, P-value = 0.0004912]	-	BIOGRID	Q12099	-	NP_010304	Q01939	-	NP_011467	APO:0000063	colony size	phenotype	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
1871535	851584	856488	32071	36523	YDR021W	YHR088W	FAL1	RPF1	ATP-dependent RNA helicase FAL1|L000003480	-	Positive Genetic	genetic	Costanzo M (2016)	PUBMED:27708008	559292	559292	High Throughput	0.253	-	Genetic interactions were considered significant if they had a p-value < 0.05 and an SGA score > 0.16 for positive interactions and SGA score < -0.12 for negative interactions.|alleles: fal1-1 - rpf1-5001 [SGA score = 0.2530, P-value = 8.118E-5]	-	BIOGRID	Q12099	-	NP_010304	P38805	-	NP_011956	APO:0000063	colony size	phenotype	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
1871536	851584	851150	32071	31689	YDR021W	YLR430W	FAL1	SEN1	ATP-dependent RNA helicase FAL1|L000003480	CIK3|NRD2|putative DNA/RNA helicase SEN1|L000001862	Positive Genetic	genetic	Costanzo M (2016)	PUBMED:27708008	559292	559292	High Throughput	0.1617	-	Genetic interactions were considered significant if they had a p-value < 0.05 and an SGA score > 0.16 for positive interactions and SGA score < -0.12 for negative interactions.|alleles: fal1-1 - sen1-1 [SGA score = 0.1617, P-value = 0.0004013]	-	BIOGRID	Q12099	-	NP_010304	Q00416	-	NP_013534	APO:0000063	colony size	phenotype	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
1871537	851584	855664	32071	35762	YDR021W	YNL061W	FAL1	NOP2	ATP-dependent RNA helicase FAL1|L000003480	YNA1|L000002535	Positive Genetic	genetic	Costanzo M (2016)	PUBMED:27708008	559292	559292	High Throughput	0.2477	-	Genetic interactions were considered significant if they had a p-value < 0.05 and an SGA score > 0.16 for positive interactions and SGA score < -0.12 for negative interactions.|alleles: fal1-1 - nop2-3 [SGA score = 0.2477, P-value = 2.236E-6]	-	BIOGRID	Q12099	-	NP_010304	P40991	-	NP_014338	APO:0000063	colony size	phenotype	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
